epochs, batch_size, dropout, learning_rate, accuracy
150, 64, 0.5, 0.001, 91.4754746835443
150, 64, 0.5, 0.002, 92.60284810126582
150, 64, 0.5, 0.003, 92.74129746835443
150, 64, 0.5, 0.004, 92.20727848101265
150, 64, 0.5, 0.005, 93.11708860759494
150, 64, 0.5, 0.0009, 92.20727848101265
150, 64, 0.5, 0.0008, 91.02056962025317
150, 64, 0.5, 0.0007, 91.37658227848101
150, 64, 0.5, 0.0006, 90.98101265822784
150, 64, 0.5, 0.0005, 92.24683544303798
150, 64, 0.8, 0.001, 86.1748417721519
150, 64, 0.8, 0.002, 87.8757911392405
150, 64, 0.8, 0.003, 87.24287974683544
150, 64, 0.8, 0.004, 84.17721518987342
150, 64, 0.8, 0.005, 88.25158227848101
150, 64, 0.8, 0.0009, 86.21439873417721
150, 64, 0.8, 0.0008, 87.7373417721519
150, 64, 0.8, 0.0007, 82.1004746835443
150, 64, 0.8, 0.0006, 85.0870253164557
150, 64, 0.8, 0.0005, 86.8868670886076
150, 64, 0.7, 0.001, 89.7745253164557
150, 64, 0.7, 0.002, 91.61392405063292
150, 64, 0.7, 0.003, 91.51503164556962
150, 64, 0.7, 0.004, 90.46677215189874
150, 64, 0.7, 0.005, 90.44699367088607
150, 64, 0.7, 0.0009, 88.33069620253164
150, 64, 0.7, 0.0008, 89.97231012658227
150, 64, 0.7, 0.0007, 90.30854430379746
150, 64, 0.7, 0.0006, 89.22072784810126
150, 64, 0.7, 0.0005, 89.14161392405063
150, 64, 0.6, 0.001, 92.46439873417721
150, 64, 0.6, 0.002, 92.26661392405063
150, 64, 0.6, 0.003, 92.12816455696202
150, 64, 0.6, 0.004, 92.26661392405063
150, 64, 0.6, 0.005, 91.4754746835443
150, 64, 0.6, 0.0009, 92.00949367088607
150, 64, 0.6, 0.0008, 92.06882911392405
150, 64, 0.6, 0.0007, 91.37658227848101
150, 64, 0.6, 0.0006, 90.0118670886076
150, 64, 0.6, 0.0005, 89.7745253164557
150, 64, 0.4, 0.001, 93.61155063291139
150, 64, 0.4, 0.002, 92.54351265822784
150, 64, 0.4, 0.003, 93.5126582278481
150, 64, 0.4, 0.004, 93.49287974683544
150, 64, 0.4, 0.005, 93.69066455696202
150, 64, 0.4, 0.0009, 93.33465189873418
150, 64, 0.4, 0.0008, 92.28639240506328
150, 64, 0.4, 0.0007, 93.23575949367088
150, 64, 0.4, 0.0006, 91.8117088607595
150, 64, 0.4, 0.0005, 92.60284810126582
150, 64, 0.3, 0.001, 92.74129746835443
150, 64, 0.3, 0.002, 94.62025316455697
150, 64, 0.3, 0.003, 94.64003164556962
150, 64, 0.3, 0.004, 93.67088607594937
150, 64, 0.3, 0.005, 94.30379746835443
150, 64, 0.3, 0.0009, 91.02056962025317
150, 64, 0.3, 0.0008, 93.23575949367088
150, 64, 0.3, 0.0007, 92.06882911392405
150, 64, 0.3, 0.0006, 92.8006329113924
150, 64, 0.3, 0.0005, 93.47310126582279
150, 64, 0.2, 0.001, 94.10601265822784
150, 64, 0.2, 0.002, 94.3631329113924
150, 64, 0.2, 0.003, 94.38291139240506
150, 64, 0.2, 0.004, 94.58069620253164
150, 64, 0.2, 0.005, 93.45332278481013
150, 64, 0.2, 0.0009, 90.3876582278481
150, 64, 0.2, 0.0008, 94.02689873417721
150, 64, 0.2, 0.0007, 93.05775316455697
150, 64, 0.2, 0.0006, 93.69066455696202
150, 64, 0.2, 0.0005, 92.50395569620254
150, 64, 0.1, 0.001, 94.00712025316456
150, 64, 0.1, 0.002, 94.67958860759494
150, 64, 0.1, 0.003, 95.13449367088607
150, 64, 0.1, 0.004, 94.18512658227847
150, 64, 0.1, 0.005, 95.15427215189874
150, 64, 0.1, 0.0009, 93.92800632911393
150, 64, 0.1, 0.0008, 94.30379746835443
150, 64, 0.1, 0.0007, 94.00712025316456
150, 64, 0.1, 0.0006, 93.05775316455697
150, 64, 0.1, 0.0005, 92.99841772151899
150, 32, 0.5, 0.001, 85.68869426751591
150, 32, 0.5, 0.002, 87.390525477707
150, 32, 0.5, 0.003, 81.75756369426752
150, 32, 0.5, 0.004, 85.33041401273886
150, 32, 0.5, 0.005, 84.78304140127389
150, 32, 0.5, 0.0009, 86.17635350318471
150, 32, 0.5, 0.0008, 83.09116242038218
150, 32, 0.5, 0.0007, 84.50437898089172
150, 32, 0.5, 0.0006, 80.6827229299363
150, 32, 0.5, 0.0005, 78.47332802547771
150, 32, 0.8, 0.001, 67.31687898089172
150, 32, 0.8, 0.002, 73.31807324840764
150, 32, 0.8, 0.003, 77.73686305732484
150, 32, 0.8, 0.004, 75.09952229299363
150, 32, 0.8, 0.005, 76.17436305732484
150, 32, 0.8, 0.0009, 60.27070063694268
150, 32, 0.8, 0.0008, 63.30613057324841
150, 32, 0.8, 0.0007, 63.126990445859875
150, 32, 0.8, 0.0006, 64.281449044586
150, 32, 0.8, 0.0005, 53.453423566878975
150, 32, 0.7, 0.001, 78.22452229299363
150, 32, 0.7, 0.002, 81.88694267515923
150, 32, 0.7, 0.003, 81.32961783439491
150, 32, 0.7, 0.004, 76.06488853503186
150, 32, 0.7, 0.005, 81.74761146496814
150, 32, 0.7, 0.0009, 78.36385350318471
150, 32, 0.7, 0.0008, 73.34792993630573
150, 32, 0.7, 0.0007, 74.60191082802548
150, 32, 0.7, 0.0006, 73.57683121019109
150, 32, 0.7, 0.0005, 70.14331210191082
150, 32, 0.6, 0.001, 83.49920382165605
150, 32, 0.6, 0.002, 85.13136942675159
150, 32, 0.6, 0.003, 85.13136942675159
150, 32, 0.6, 0.004, 83.06130573248409
150, 32, 0.6, 0.005, 84.45461783439491
150, 32, 0.6, 0.0009, 80.70262738853503
150, 32, 0.6, 0.0008, 80.57324840764332
150, 32, 0.6, 0.0007, 79.3093152866242
150, 32, 0.6, 0.0006, 78.49323248407643
150, 32, 0.6, 0.0005, 78.29418789808918
150, 32, 0.4, 0.001, 87.35071656050955
150, 32, 0.4, 0.002, 88.78383757961782
150, 32, 0.4, 0.003, 88.6843152866242
150, 32, 0.4, 0.004, 89.08240445859873
150, 32, 0.4, 0.005, 87.38057324840764
150, 32, 0.4, 0.0009, 84.54418789808918
150, 32, 0.4, 0.0008, 83.81767515923568
150, 32, 0.4, 0.0007, 81.12062101910828
150, 32, 0.4, 0.0006, 82.00636942675159
150, 32, 0.4, 0.0005, 81.92675159235668
150, 32, 0.3, 0.001, 86.52468152866241
150, 32, 0.3, 0.002, 88.0374203821656
150, 32, 0.3, 0.003, 88.29617834394905
150, 32, 0.3, 0.004, 89.63972929936305
150, 32, 0.3, 0.005, 88.41560509554141
150, 32, 0.3, 0.0009, 87.24124203821655
150, 32, 0.3, 0.0008, 83.3797770700637
150, 32, 0.3, 0.0007, 86.87300955414013
150, 32, 0.3, 0.0006, 86.46496815286623
150, 32, 0.3, 0.0005, 84.53423566878982
150, 32, 0.2, 0.001, 89.0625
150, 32, 0.2, 0.002, 86.38535031847134
150, 32, 0.2, 0.003, 91.43113057324841
150, 32, 0.2, 0.004, 91.10270700636943
150, 32, 0.2, 0.005, 89.90843949044586
150, 32, 0.2, 0.0009, 86.3953025477707
150, 32, 0.2, 0.0008, 88.5250796178344
150, 32, 0.2, 0.0007, 84.89251592356688
150, 32, 0.2, 0.0006, 86.14649681528662
150, 32, 0.2, 0.0005, 84.77308917197452
150, 32, 0.1, 0.001, 90.41600318471338
150, 32, 0.1, 0.002, 88.4454617834395
150, 32, 0.1, 0.003, 90.44585987261146
150, 32, 0.1, 0.004, 88.80374203821655
150, 32, 0.1, 0.005, 87.90804140127389
150, 32, 0.1, 0.0009, 89.81886942675159
150, 32, 0.1, 0.0008, 86.71377388535032
150, 32, 0.1, 0.0007, 84.69347133757962
150, 32, 0.1, 0.0006, 89.36106687898089
150, 32, 0.1, 0.0005, 82.03622611464968
150, 16, 0.5, 0.001, 54.81230031948881
150, 16, 0.5, 0.002, 62.709664536741215
150, 16, 0.5, 0.003, 53.070087859424916
150, 16, 0.5, 0.004, 60.248602236421725
150, 16, 0.5, 0.005, 53.91373801916933
150, 16, 0.5, 0.0009, 53.090055910543136
150, 16, 0.5, 0.0008, 48.19289137380191
150, 16, 0.5, 0.0007, 44.89816293929712
150, 16, 0.5, 0.0006, 40.180710862619804
150, 16, 0.5, 0.0005, 37.724640575079874
150, 16, 0.8, 0.001, 20.53214856230032
150, 16, 0.8, 0.002, 29.61761182108626
150, 16, 0.8, 0.003, 31.444688498402556
150, 16, 0.8, 0.004, 27.42112619808307
150, 16, 0.8, 0.005, 30.226637380191697
150, 16, 0.8, 0.0009, 20.542132587859424
150, 16, 0.8, 0.0008, 18.854832268370608
150, 16, 0.8, 0.0007, 16.343849840255594
150, 16, 0.8, 0.0006, 15.120806709265175
150, 16, 0.8, 0.0005, 7.443091054313099
150, 16, 0.7, 0.001, 38.76797124600639
150, 16, 0.7, 0.002, 35.927515974440894
150, 16, 0.7, 0.003, 47.20447284345048
150, 16, 0.7, 0.004, 41.054313099041536
150, 16, 0.7, 0.005, 44.43390575079872
150, 16, 0.7, 0.0009, 25.80371405750799
150, 16, 0.7, 0.0008, 28.429512779552716
150, 16, 0.7, 0.0007, 33.72603833865815
150, 16, 0.7, 0.0006, 19.37899361022364
150, 16, 0.7, 0.0005, 14.352036741214057
150, 16, 0.6, 0.001, 42.457068690095845
150, 16, 0.6, 0.002, 53.81888977635783
150, 16, 0.6, 0.003, 58.146964856230035
150, 16, 0.6, 0.004, 55.7757587859425
150, 16, 0.6, 0.005, 52.70067891373802
150, 16, 0.6, 0.0009, 36.53654153354633
150, 16, 0.6, 0.0008, 44.4788338658147
150, 16, 0.6, 0.0007, 42.05271565495208
150, 16, 0.6, 0.0006, 33.007188498402556
150, 16, 0.6, 0.0005, 30.046924920127793
150, 16, 0.4, 0.001, 53.00519169329073
150, 16, 0.4, 0.002, 65.625
150, 16, 0.4, 0.003, 65.57507987220448
150, 16, 0.4, 0.004, 57.46805111821086
150, 16, 0.4, 0.005, 63.5033945686901
150, 16, 0.4, 0.0009, 58.74600638977636
150, 16, 0.4, 0.0008, 54.32807507987221
150, 16, 0.4, 0.0007, 48.78194888178914
150, 16, 0.4, 0.0006, 48.87679712460064
150, 16, 0.4, 0.0005, 38.188897763578275
150, 16, 0.3, 0.001, 58.20187699680511
150, 16, 0.3, 0.002, 69.47883386581469
150, 16, 0.3, 0.003, 67.51198083067092
150, 16, 0.3, 0.004, 74.05650958466452
150, 16, 0.3, 0.005, 63.66813099041534
150, 16, 0.3, 0.0009, 61.885982428115014
150, 16, 0.3, 0.0008, 59.02555910543131
150, 16, 0.3, 0.0007, 50.504193290734825
150, 16, 0.3, 0.0006, 44.933107028753994
150, 16, 0.3, 0.0005, 42.521964856230035
150, 16, 0.2, 0.001, 69.97803514376997
150, 16, 0.2, 0.002, 60.2735623003195
150, 16, 0.2, 0.003, 75.93350638977637
150, 16, 0.2, 0.004, 63.7679712460064
150, 16, 0.2, 0.005, 
