epochs, batch_size, dropout, learning_rate, accuracy,,93.3346519
300,64,0.5,0.001,90.80300633,,
300,64,0.5,0.002,87.24287975,,
300,64,0.5,0.003,83.78164557,,
300,64,0.5,0.004,76.04825949,,
300,64,0.5,0.005,72.34968354,,
300,64,0.5,0.0009,90.84256329,,
300,64,0.5,0.0008,91.83148734,,
300,64,0.5,0.0007,91.47547468,,
300,64,0.5,0.0006,90.68433544,,
300,64,0.5,0.0005,90.26898734,,
300,64,0.5,0.01,1.95806962,,
300,64,0.8,0.001,86.78797468,,
300,64,0.8,0.002,82.29825949,,
300,64,0.8,0.003,70.39161392,,
300,64,0.8,0.004,68.53243671,,
300,64,0.8,0.005,1.95806962,,
300,64,0.8,0.0009,87.89556962,,
300,64,0.8,0.0008,85.02768987,,
300,64,0.8,0.0007,84.23655063,,
300,64,0.8,0.0006,86.6693038,,
300,64,0.8,0.0005,88.09335443,,
300,64,0.8,0.01,1.95806962,,
300,64,0.7,0.001,90.22943038,,
300,64,0.7,0.002,87.97468354,,
300,64,0.7,0.003,81.11155063,,
300,64,0.7,0.004,69.24446203,,
300,64,0.7,0.005,26.66139241,,
300,64,0.7,0.0009,89.91297468,,
300,64,0.7,0.0008,90.2096519,,
300,64,0.7,0.0007,89.53718354,,
300,64,0.7,0.0006,89.57674051,,
300,64,0.7,0.0005,90.58544304,,
300,64,0.7,0.01,1.95806962,,
300,64,0.6,0.001,90.78322785,,
300,64,0.6,0.002,87.73734177,,
300,64,0.6,0.003,83.78164557,,
300,64,0.6,0.004,79.35126582,,
300,64,0.6,0.005,56.72468354,,
300,64,0.6,0.0009,89.31962025,,
300,64,0.6,0.0008,89.08227848,,
300,64,0.6,0.0007,90.52610759,,
300,64,0.6,0.0006,91.27768987,,
300,64,0.6,0.0005,91.83148734,,
300,64,0.6,0.01,1.95806962,,
300,64,0.9,0.001,55.08306962,,
300,64,0.9,0.002,19.30379747,,
300,64,0.9,0.003,6.230221519,,
300,64,0.9,0.004,8.148734177,,
300,64,0.9,0.005,1.95806962,,
300,64,0.9,0.0009,48.16060127,,
300,64,0.9,0.0008,71.65743671,,
300,64,0.9,0.0007,53.4414557,,
300,64,0.9,0.0006,71.28164557,,
300,64,0.9,0.0005,55.97310127,,
300,64,0.9,0.01,1.95806962,,
300,64,0.4,0.001,91.73259494,,
300,64,0.4,0.002,88.25158228,,
300,64,0.4,0.003,83.26740506,,
300,64,0.4,0.004,78.77768987,,
300,64,0.4,0.005,72.40901899,,
300,64,0.4,0.0009,91.95015823,,
300,64,0.4,0.0008,92.04905063,,
300,64,0.4,0.0007,91.33702532,,
300,64,0.4,0.0006,90.60522152,,
300,64,0.4,0.0005,90.72389241,,
300,64,0.4,0.01,1.95806962,,
300,64,0.3,0.001,91.51503165,,
300,64,0.3,0.002,89.04272152,,
300,64,0.3,0.003,87.93512658,,
300,64,0.3,0.004,81.90268987,,
300,64,0.3,0.005,74.96044304,,
300,64,0.3,0.0009,92.32594937,,
300,64,0.3,0.0008,92.1875,,
300,64,0.3,0.0007,91.65348101,,
300,64,0.3,0.0006,91.67325949,,
